,Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2021,,,,,,,,,NAICS_level_1,NAICS_level_2,NAICS_level_3,NAICS_level_4,NAICS_level_5,2017 NAICS Title,Jan. 2021,Feb. 2021(p),CY CUM,PY CUM
,"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,11,111,1111,11111,111110,Soybean Farming,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,11,111,1111,11112,111120,Oilseed (except Soybean) Farming ,#N/A,#N/A,#N/A,#N/A
,NAICS  Code,Kind of Business,,,,,,,,11,111,1111,11113,111130,Dry Pea and Bean Farming ,#N/A,#N/A,#N/A,#N/A
,,,Jan. 2021,Feb. 2021(p),CY CUM,PY CUM,,,,11,111,1111,11114,111140,Wheat Farming,#N/A,#N/A,#N/A,#N/A
,,NOT ADJUSTED,,,,,,,,11,111,1111,11115,111150,Corn Farming ,#N/A,#N/A,#N/A,#N/A
,,"Retail and food services sales, total","517,119","490,657","1,007,776","958,768",,,,11,111,1111,11116,111160,Rice Farming,#N/A,#N/A,#N/A,#N/A
,,Retail sales and food services excl motor vehicle and parts,"412,864","387,813","800,677","767,573",,,,11,111,1111,11119,111191,Oilseed and Grain Combination Farming ,#N/A,#N/A,#N/A,#N/A
,,Retail sales and food services excl gasoline stations,"479,905","454,373","934,278","882,109",,,,11,111,1111,11119,111199,All Other Grain Farming ,#N/A,#N/A,#N/A,#N/A
,,Retail sales and food services excl motor vehicle and parts and gasoline stations,"375,650","351,529","727,179","690,914",,,,11,111,1112,11121,111211,Potato Farming ,#N/A,#N/A,#N/A,#N/A
,,"Retail sales, total","464,362","440,182","904,544","834,245",,,,11,111,1112,11121,111219,Other Vegetable (except Potato) and Melon Farming ,#N/A,#N/A,#N/A,#N/A
,,"Retail sales, total (excl. motor vehicle and parts dealers)","360,107","337,338","697,445","643,050",,,,11,111,1113,11131,111310,Orange Groves,#N/A,#N/A,#N/A,#N/A
,,GAFO(1),"102,333","95,130","197,463","192,101",,,,11,111,1113,11132,111320,Citrus (except Orange) Groves ,#N/A,#N/A,#N/A,#N/A
NOT ADJUSTED,441,Motor vehicle and parts dealers,"104,255","102,844","207,099","191,195",,,,11,111,1113,11133,111331,Apple Orchards ,#N/A,#N/A,#N/A,#N/A
NOT ADJUSTED,4411,Automobile dealers,"90,463","88,477","178,940","166,354",,,,11,111,1113,11133,111332,Grape Vineyards ,#N/A,#N/A,#N/A,#N/A
NOT ADJUSTED,44111,New car dealers,"79,954","77,192","157,146","146,434",,,,11,111,1113,11133,111333,Strawberry Farming ,#N/A,#N/A,#N/A,#N/A
NOT ADJUSTED,44112,Used car dealers,"10,509","11,285","21,794","19,920",,,,11,111,1113,11133,111334,Berry (except Strawberry) Farming ,#N/A,#N/A,#N/A,#N/A
NOT ADJUSTED,4413,"Automotive parts, acc., and tire stores","7,718","7,520","15,238","14,777",,,,11,111,1113,11133,111335,Tree Nut Farming ,#N/A,#N/A,#N/A,#N/A
NOT ADJUSTED,442,Furniture and home furnishings stores,"10,707","10,019","20,726","18,942",,,,11,111,1113,11133,111336,Fruit and Tree Nut Combination Farming ,#N/A,#N/A,#N/A,#N/A
NOT ADJUSTED,4421,Furniture stores,"6,099","5,691","11,790","10,435",,,,11,111,1113,11133,111339,Other Noncitrus Fruit Farming ,#N/A,#N/A,#N/A,#N/A
NOT ADJUSTED,4422,Home furnishings stores,(S),(S),,,,,,11,111,1114,11141,111411,Mushroom Production ,#N/A,#N/A,#N/A,#N/A
NOT ADJUSTED,44221,Floor covering stores,(S),(S),,,,,,11,111,1114,11141,111419,Other Food Crops Grown Under Cover ,#N/A,#N/A,#N/A,#N/A
NOT ADJUSTED,442299,All other home furnishings stores,(S),(S),,,,,,11,111,1114,11142,111421,Nursery and Tree Production ,#N/A,#N/A,#N/A,#N/A
NOT ADJUSTED,443,Electronics and appliance stores,"7,066","6,275","13,341","13,766",,,,11,111,1114,11142,111422,Floriculture Production ,#N/A,#N/A,#N/A,#N/A
NOT ADJUSTED,443141,Household appliance stores,"1,631","1,495","3,126","2,464",,,,11,111,1119,11191,111910,Tobacco Farming,#N/A,#N/A,#N/A,#N/A
